REF. HESPERIA,cleaned
TE.02.117a,['boka']
TE.02.118,['boka']
TE.02.119,['boka']
TE.02.120,['boka']
TE.02.123,['eki']
TE.02.124a,['eteśikeḿi']
TE.02.125,"['ieka', '']"
TE.02.126,['ika']
TE.02.127,['ika']
TE.02.128a,['iko']
TE.02.129a,['iko']
TE.02.130a,"['iko', '']"
TE.02.131,['il']
TE.02.132,['in']
TE.02.133a,"['ir', '']"
TE.02.134,['ir']
TE.02.135,"['iko', '']"
TE.02.136,['ir']
TE.02.137,['ir']
TE.02.138,['is']
TE.02.139,['iś']
TE.02.140,['kai']
TE.02.141,['kan']
TE.02.142a,['kaḿ']
TE.02.143,"['kaŕ', '']"
TE.02.144,['kei']
TE.02.145a,"['ta', '']"
TE.02.146,"['tetae', '']"
TE.02.147,['keu']
TE.02.148,['a++']
TE.02.149,['kie']
TE.02.150,['śliba:al']
TE.02.151,['kitatoio']
TE.02.152,['+kue']
TE.02.153a,['kui']
TE.02.154,['kui']
TE.02.155,['kui']
TE.02.156,['kulki']
TE.02.157,"['kul', '']"
TE.02.158a,['kuḿ']
TE.02.159,['kusi']
TE.02.161,['kuś']
TE.02.162a,['kutui']
TE.02.163,['kutuka']
TE.02.164a,['la']
TE.02.165a,['la']
TE.02.166,['la']
TE.02.167,['la']
TE.02.168,['la']
TE.02.169,['la']
TE.02.171,['la']
TE.02.172,"['la', '']"
TE.02.173,['le']
TE.02.174a,['li']
TE.02.175,"['biuŕ+', '']"
TE.02.176a,['ḿa']
TE.02.177,['ḿa']
TE.02.179,['ḿbar']
TE.02.180a,['ḿiba']
TE.02.181,['teḿi']
TE.02.182,['uḿi']
TE.02.183,['na']
TE.02.184,['ne']
TE.02.185a,['os']
TE.02.186,['oŕ']
TE.02.187a,['tu']
TE.02.189,"['sa', '']"
TE.02.191,['se']
TE.02.192a,['si']
TE.02.193a,['si']
TE.02.194a,['si']
TE.02.195,['si']
TE.02.196,['si']
TE.02.197,['si']
TE.02.198a,['su---ta']
TE.02.199,['s * s']
TE.02.200,['śa']
TE.02.201,['śa']
TE.02.202,['śa']
TE.02.203,['tabi']
TE.02.204,['boka']
TE.02.205,['tau']
TE.02.206,['tau']
TE.02.207,"['tan', '']"
TE.02.209,['taŕ']
TE.02.210,['taŕ']
TE.02.211,"['taś', '']"
TE.02.212a,"['a', '']"
TE.02.213a,['taute']
TE.02.214a,['taute']
TE.02.215a,['taute']
TE.02.216,['taute']
TE.02.217,['taute']
TE.02.218,['taute']
TE.02.219a,['tabas']
TE.02.220,['tau']
TE.02.221,['tau']
TE.02.222a,['tau']
TE.02.224,['tim']
TE.02.225,['tim']
TE.02.226,['tise']
TE.02.227a,['tiś']
TE.02.228,['tols']
TE.02.229a,['ton']
TE.02.230,['too']
TE.02.232,['tube']
TE.02.233,['tubi']
TE.02.234,['un']
TE.02.235,['aś']
TE.02.237,"['bo+', '']"
TE.02.238,"['+i', '']"
TE.02.239,"['kutu', '']"
TE.02.240,"['tin+++', '']"
TE.02.241a,['o']
TE.02.242,"['slbe+', '']"
TE.02.243 = TE.2.235,"['aś', '']"
TE.02.244,"['u+', '']"
TE.02.245a,['aa']
TE.02.246,['aa']
TE.02.247,['aa']
TE.02.248,['aa']
TE.02.249,['aa']
TE.02.250,['aa']
TE.02.251a,['ba']
TE.02.252,"['baa', '']"
TE.02.253,['koa']
TE.02.254,['koa']
TE.02.255,['koa']
TE.02.256,['koa']
TE.02.257,['lke']
TE.02.258,['lke']
TE.02.259,['lke']
TE.02.260,"['ln', '']"
TE.02.261a,"['ln', '']"
TE.02.262,['lns']
